Name;Place;type;Lenght;bundX;bundY;bundZ;topX;topY;topZ;rotateZ;ledLength;StartUniverseNW;StartUniverseNE;StartUniverseSE;StartUniverseSW;StartChannel
00-A01;01;QuadLED;3000;2122;2020;580;2122;2020;3580;45;216;0;2;4;6;1
00-B01;01;QuadLED;3000;2045;2158;753;2045;2158;3753;45;216;8;10;12;14;1
00-C01;01;QuadLED;2000;2225;2101;810;2225;2101;2810;45;144;16;18;20;22;1
00-A02;02;QuadLED;3000;2285;1848;580;2285;1848;3580;45;216;24;26;28;30;1
00-B02;02;QuadLED;3000;2405;1950;764;2405;1950;3764;45;216;32;34;36;38;1
00-C02;02;QuadLED;2000;2253;1705;821;2253;1705;2821;45;144;40;42;44;46;1
00-A03;03;QuadLED;3000;2228;1455;725;2228;1455;3725;45;216;48;50;52;54;1
00-B03;03;QuadLED;3000;2114;1493;765;2114;1493;3765;45;216;56;58;60;62;1
00-C03;03;QuadLED;2000;2331;1345;767;2331;1345;2767;45;144;64;66;68;70;1
00-A04;04;QuadLED;3000;1751;1143;725;1751;1143;3725;45;216;72;74;76;78;1
00-B04;04;QuadLED;3000;1811;1054;763;1811;1054;3763;45;216;80;82;84;86;1
00-C04;04;QuadLED;2000;1883;1207;800;1883;1207;2800;45;144;88;90;92;94;1
00-A05;05;QuadLED;3000;2075;966;725;2075;966;3725;45;216;96;98;100;102;1
00-B05;05;QuadLED;3000;1955;862;760;1955;862;3760;45;216;104;106;108;110;1
00-C05;05;QuadLED;2000;2146;818;860;2146;818;2860;45;144;112;114;116;118;1
00-A06;06;QuadLED;3000;2369;927;580;2369;927;3580;45;216;120;122;124;126;1
00-B06;06;QuadLED;3000;2472;853;755;2472;853;3755;45;216;128;130;132;134;1
00-C06;06;QuadLED;2000;2280;1070;770;2280;1070;2770;45;144;136;138;140;142;1
00-A07;07;QuadLED;3000;4275;1417;630;4275;1417;3630;45;216;144;146;148;150;1
00-B07;07;QuadLED;3000;4196;1239;760;4196;1239;3760;45;216;152;154;156;158;1
00-C07;07;QuadLED;2000;4129;1642;813;4129;1642;2813;45;144;160;162;164;166;1
00-A08;08;QuadLED;2000;25718;7975;615;25718;7975;2615;45;144;168;170;172;174;1
00-B08;08;QuadLED;1500;25820;8009;655;25820;8009;2155;45;108;176;178;180;182;1
00-C08;08;QuadLED;1000;25751;8095;655;25751;8095;1655;45;108;184;186;188;190;1
00-A09;09;QuadLED;3000;25751;7517;476;25751;7517;3476;45;216;192;194;196;198;1
00-B09;09;QuadLED;1500;25834;7553;655;25834;7553;2155;45;108;200;202;204;206;1
00-C09;09;QuadLED;1000;25666;7618;655;25666;7618;1655;45;108;208;210;212;214;1
00-A10;10;QuadLED;3000;25799;7273;476;25799;7273;3476;45;216;216;218;220;222;1
